原 id,id,type,question,option_1,option_2,option_3,answer,media_file,解析
9,m_sgn_001,choice_image,,車輛總重限制,車輛載重限制,車輛空重,1,m_sgn_001.webp,這是「總重限制」標誌紅圈禁制標誌內標示噸數，代表禁止總重量（含載重與乘客）超過該數值的車輛通行
67,m_sgn_002,choice_image,,路面高突,路滑,禁止超車,2,m_sgn_002.webp,此為「路滑」標誌，警告前方路段可能因潮濕或其他原因導致路面摩擦力降低，駕駛人應減速慢行
68,m_sgn_003,choice_image,,注意右側落石,斷崖,注意左側落石,3,m_sgn_003.webp,此為「注意左側落石」警告標誌，表示前方路段左側可能有落石，駕駛人應減速慢行，提高警覺
69,m_sgn_004,choice_image,,注意右側落石,注意左側落石,危險路面,1,m_sgn_004.webp,此為「注意右側落石」警告標誌，表示前方路段右側可能有落石，駕駛人應減速慢行，提高警覺
70,m_sgn_005,choice_image,,右側斷崖,碼頭堤岸,注意右側落石,1,m_sgn_005.webp,此為「右側斷崖」警告標誌，表示前方道路右側為懸崖或險坡，駕駛人行經時應格外小心，注意行車安全
71,m_sgn_006,choice_image,,警告號誌,危險,慢行,2,m_sgn_006.webp,此為「危險」警告標誌，通常以驚嘆號呈現，用於警告駕駛人前方有潛在危險，應減速慢行，提高警覺
72,m_sgn_007,choice_image,,此路不通,救護站,醫院,2,m_sgn_007.webp,此為「救護站」指示標誌，指示駕駛人前方或附近設有救護站點，提供緊急醫療服務
119,m_sgn_008,choice_image,,岔路,此路不通,匝道會車,3,m_sgn_008.webp,此為「匝道會車」警告標誌，表示前方有匝道匯入主線車流，駕駛人應注意車輛匯入，保持安全距離
120,m_sgn_009,choice_image,,岔路,匝道會車,狹橋,2,m_sgn_009.webp,此為「匝道會車」警告標誌，表示前方有匝道匯入主線車流，駕駛人應注意車輛匯入，保持安全距離
217,m_sgn_010,choice_image,,車輛寬度限制,禁止停車,車輛高度限制,1,m_sgn_010.webp,此為「車輛寬度限制」標誌，表示車輛寬度超過標示者禁止進入
218,m_sgn_011,choice_image,,車輛長度限制,車寬限制,禁止汽車進入,1,m_sgn_011.webp,此為「車輛長度限制」標誌，表示車輛長度超過標示者禁止進入
219,m_sgn_012,choice_image,,停車再開,停車檢查,禁止行人通行,2,m_sgn_012.webp,此為「停車檢查」標誌，表示車輛應停車受檢查
220,m_sgn_013,choice_image,,停車再開,停車檢查,禁止通行,2,m_sgn_013.webp,這是「停車檢查」標誌紅圈內寫有「關卡」與「停車」字樣，代表車輛抵達該處必須停車受檢（如收費站、檢查哨等），合格後方可通行
405,m_sgn_014,choice_image,,右側斷崖,碼頭、堤岸,危險,2,m_sgn_014.webp,此為「碼頭、堤岸」警告標誌，警告前方有水深危險的碼頭或堤岸
406,m_sgn_015,choice_image,,狹路,隧道,狹橋,2,m_sgn_015.webp,此為「隧道」警告標誌，警告前方有隧道，提醒駕駛注意車速與照明
407,m_sgn_016,choice_image,,禁止停車,禁止臨時停車,禁止超車,1,m_sgn_016.webp,此為「禁止停車」禁制標誌，表示在規定的時間或路段內禁止長時間停車
408,m_sgn_017,choice_image,,禁止行人通行,停車再開,禁止任何車輛進入,3,m_sgn_017.webp,此為「禁止進入」禁制標誌，表示禁止任何車輛進入該路段
409,m_sgn_018,choice_image,,禁止行人通行,禁止任何車輛進入,禁止四輪以上汽車進入,3,m_sgn_018.webp,此為「禁止汽車進入」禁制標誌，表示禁止四輪以上汽車進入
410,m_sgn_019,choice_image,,禁止任何車輛進入,禁止拖車進入,禁止大貨車及聯結車進入,3,m_sgn_019.webp,此為「禁止大貨車及聯結車進入」禁制標誌，表示禁止大貨車及聯結車進入
411,m_sgn_020,choice_image,,禁止大型重型機車以外之機車進入,禁止四輪以上汽車進入,禁止超車,1,m_sgn_020.webp,此為「禁止機車進入」禁制標誌，表示禁止普通重型機車及輕型機車進入
412,m_sgn_021,choice_image,,省道路線編號,縣道路線編號,國道路線編號,1,m_sgn_021.webp,此為「省道路線編號」標誌，指示該道路為省道，並標示其編號
413,m_sgn_022,choice_image,,省道路線編號,縣道路線編號,國道路線編號,3,m_sgn_022.webp,此為「國道路線編號」標誌，指示該道路為國道，並標示其編號
414,m_sgn_023,choice_image,,快速公路之省道路線編號,縣道路線編號,國道路線編號,1,m_sgn_023.webp,此為「快速公路之省道路線編號」標誌，指示該道路為快速公路中的省道，並標示其編號
415,m_sgn_024,choice_image,,省道路線編號,市、縣道路線編號,國道路線編號,2,m_sgn_024.webp,此為「市、縣道路線編號」標誌，指示該道路為市道或縣道，並標示其編號
416,m_sgn_025,choice_image,,產業道路編號,縣道路線編號,區、鄉道路線編號標誌,3,m_sgn_025.webp,此為「區、鄉道路線編號」標誌，指示該道路為區道或鄉道，並標示其編號
417,m_sgn_026,choice_image,,雙線以上電化鐵路平交道,雙線以上鐵路平交道,單線電化鐵路平交道,1,m_sgn_026.webp,此為「雙線以上電化鐵路平交道」警告標誌，警告前方有電氣化多股鐵路平交道
418,m_sgn_027,choice_image,,停止線,近障礙物線,車輛停放線,3,m_sgn_027.webp,此為「車輛停放線」，標示車輛應停放的範圍
419,m_sgn_028,choice_image,,停車處,鐵路車站,高速鐵路車站,1,m_sgn_028.webp,此為「停車處」標誌，指示該區域可供車輛停放
420,m_sgn_029,choice_image,,人行天橋,人行地下道,停車處,2,m_sgn_029.webp,此為「人行地下道」標誌，指示前方設有人行地下道，供行人安全通行
421,m_sgn_030,choice_image,,迴轉道,安全方向導引,車道預告,3,m_sgn_030.webp,此為「車道預告」標誌，預告前方路段車道配置，指示不同車道將前往的方向
422,m_sgn_031,choice_image,,迴轉道,安全方向導引,車道預告,2,m_sgn_031.webp,此為「安全方向導引」標誌，引導車輛依箭頭方向行駛，通常設於彎道或危險路段
423,m_sgn_032,choice_image,,警告標誌,道路施工標誌,車輛故障標誌,3,m_sgn_032.webp,此為「車輛故障標誌」，用以警示後方來車前方有故障車輛，提醒注意
424,m_sgn_033,choice_image,機車駕駛人如果在道路上發現圖中的橫向標線時，應該如何反應？,減速慢行,加速通過,檢查輪胎,1,m_sgn_033.webp,圖中橫向標線為「減速標線」，警示駕駛人前方有危險或需減速的狀況
425,m_sgn_034,choice_image,圖中最外側的路面邊線與車道線中間的白色實線為何種標線？,快慢車道分隔線,行車分向線,雙方禁止超車線,1,m_sgn_034.webp,路面邊線與車道線間的白色實線為「快慢車道分隔線」，區隔快車道與慢車道
426,m_sgn_035,choice_image,圖中路口交叉型標線是？,對角線行人穿越道線,網狀線,自行車穿越道線,1,m_sgn_035.webp,圖中路口交叉型標線為「對角線行人穿越道線」，供行人斜向穿越路口
427,m_sgn_036,choice_image,圖中白色箭頭是,左轉彎,避車彎,車道縮減標線,3,m_sgn_036.webp,圖中白色箭頭為「車道縮減標線」，警示前方車道即將縮減
428,m_sgn_037,choice_image,,特種閃光紅燈號誌,禁止通行,車道管制號誌,1,m_sgn_037.webp,此為「特種閃光紅燈號誌」，表示「停車再開」，車輛應停止觀察確認安全後方可通行
429,m_sgn_038,choice_image,,當心自行車,當心行人,當心機車,1,m_sgn_038.webp,此為「當心自行車」警告標誌，警告駕駛人前方路段常有自行車，請注意禮讓
430,m_sgn_039,choice_image,,港埠,渡口,修理站,1,m_sgn_039.webp,此為「港埠」標誌，指示前方為港口或碼頭區域
431,m_sgn_040,choice_image,,捷運車站,鐵路車站,高速鐵路車站,2,m_sgn_040.webp,此為「鐵路車站」標誌，指示前方設有鐵路車站
432,m_sgn_041,choice_image,,公路汽車客運車站或轉運站,捷運車站,計程車招呼站,1,m_sgn_041.webp,此為「公路汽車客運車站或轉運站」標誌，指示前方有公車或客運停靠站
433,m_sgn_042,choice_image,,左轉彎,允讓後車超越,減速暫停,3,m_sgn_042.webp,此手勢表示「減速暫停」，提醒後方車輛駕駛人應減速或暫停
434,m_sgn_043,choice_image,,右轉彎,允讓後車超越,減速暫停,2,m_sgn_043.webp,此手勢表示「允讓後車超越」，指示後方車輛可以安全超車
435,m_sgn_044,choice_image,,右轉彎,允讓後車超越,減速暫停,1,m_sgn_044.webp,此手勢表示「右轉彎」，指示駕駛人準備向右轉彎
436,m_sgn_045,choice_image,,左轉彎,右轉彎,減速暫停,1,m_sgn_045.webp,此手勢表示「左轉彎」，指示駕駛人準備向左轉彎
437,m_sgn_046,choice_image,,車道指定大客車專行,車道指定高乘載車輛專行,車道指定大眾捷運系統車輛專行,3,m_sgn_046.webp,此為「大眾捷運系統車輛專行」標線，指示該車道專供大眾捷運系統車輛行駛
438,m_sgn_047,choice_image,,禁止四輪以上汽車,禁止大客車進入,禁止大眾捷運系統車輛進入,2,m_sgn_047.webp,此為「禁止大客車進入」禁制標誌，表示禁止大客車進入
439,m_sgn_048,choice_image,,車道指定四輪以上汽車及排氣量 550 立方公分以上之大型重型機車專行,車道指定四輪以上汽車及大型重型機車專行,車道指定四輪以上汽車及大型重型機車以外之機車專行,2,m_sgn_048.webp,這是「車道指定四輪以上汽車及大型重型機車專行」標誌指示該車道僅供四輪以上汽車及大型重型機車行駛
440,m_sgn_049,choice_image,,車道指定大客車專行,車道指定高乘載車輛專行,車道指定大眾捷運系統車輛專行,1,m_sgn_049.webp,此為「車道指定大客車專行」標誌，表示該車道專供大客車行駛
441,m_sgn_050,choice_image,,禁止大客車及大貨車進入,禁止四輪以上汽車及大貨車進入,禁止大客車、大貨車及聯結車進入,3,m_sgn_050.webp,此為「禁止大客車、大貨車及聯結車進入」標誌，表示該路段禁止這三類大型車輛駛入
442,m_sgn_051,choice_image,,雙線以上鐵路平交道,單線鐵路平交道,單線電化鐵路平交道,3,m_sgn_051.webp,此為「單線電化鐵路平交道」標誌，表示前方為有架空電車線的單線鐵路平交道
443,m_sgn_052,choice_image,,地名,車道指示,地名方向指示,2,m_sgn_052.webp,此為「車道指示」標誌，用以指示前方各車道之行駛方向或指定特定車輛行駛
444,m_sgn_053,choice_image,自行車騎士手勢預告即將,右轉,左轉,減速暫停,1,m_sgn_053.webp,自行車騎士以手勢預告即將「右轉」時，通常為伸直右臂水平向右，或左臂向上彎曲
445,m_sgn_054,choice_image,自行車騎士手勢預告即將,右轉,左轉,減速暫停,3,m_sgn_054.webp,自行車騎士以手勢預告即將「減速暫停」時，通常會將左臂向下伸直，手掌向後
446,m_sgn_055,choice_image,,無柵門鐵路平交道,有柵門鐵路平交道,禁止汽車進入,1,m_sgn_055.webp,此為「無柵門鐵路平交道」警示標誌，警告前方有平交道且未設柵門，應特別注意安全
447,m_sgn_056,choice_image,,禁止汽車進入,無柵門鐵路平交道,有柵門鐵路平交道,3,m_sgn_056.webp,此為「有柵門鐵路平交道」警示標誌，警告前方有平交道且設有柵門設備509,m_sgn_057,choice_image,,雙向道,救護站,岔路,3,m_sgn_057.webp,此為「岔路」標誌，提醒前方道路將出現 Y 型或丁字型分岔路口
510,m_sgn_058,choice_image,,岔路,雙向道,禁止行人通行,1,m_sgn_058.webp,此為「岔路」標誌，表示前方有支線道路匯入或分出
511,m_sgn_059,choice_image,,狹路,雙向道,岔路,3,m_sgn_059.webp,此為「岔路」標誌，表示前方將出現向右或向左之分岔路口
512,m_sgn_060,choice_image,,險升坡,險降坡,碼頭,1,m_sgn_060.webp,此為「險升坡」標誌，表示前方道路有陡峭的上坡路段
513,m_sgn_061,choice_image,,停車再開,當心台車,當心行人,2,m_sgn_061.webp,此為「當心台車」標誌，提醒駕駛注意軌道車輛或採礦車輛通行
514,m_sgn_062,choice_image,,當心行人,當心兒童,禁止行人通行,2,m_sgn_062.webp,此為「當心兒童」標誌，提醒駕駛人前方有兒童出沒，應減速慢行
515,m_sgn_063,choice_image,,當心兒童,當心行人,禁止行人通行,2,m_sgn_063.webp,此為「當心行人」標誌，提醒駕駛人前方可能有行人通行，應提高警覺
516,m_sgn_064,choice_image,,注意號誌,危險,行車管制號誌,1,m_sgn_064.webp,此為「注意號誌」標誌，提醒駕駛人前方路口設有行車管制號誌
517,m_sgn_065,choice_image,,禁止行人通行,當心行人,當心兒童,1,m_sgn_065.webp,此為「禁止行人通行」標誌，表示該區域禁止行人進入或穿越
518,m_sgn_066,choice_image,,當心兒童,當心行人,行人專用,3,m_sgn_066.webp,此為「行人專用」標誌，表示該車道或路段專供行人使用
519,m_sgn_067,choice_image,,岔路,此路不通,加油站,2,m_sgn_067.webp,此為「此路不通」標誌，表示前方道路為死巷或無法通行
520,m_sgn_068,choice_image,,閃光黃燈,行車管制號誌,雙閃光黃燈,2,m_sgn_068.webp,此為「行車管制號誌」標誌，指示駕駛人應遵從交通號誌指示
521,m_sgn_069,choice_image,,雙閃光黃燈,特種閃光黃燈號誌,時相交通號誌,2,m_sgn_069.webp,此為「特種閃光黃燈號誌」，提醒駕駛注意前方特殊危險路段
522,m_sgn_070,choice_image,,行人專用號誌,閃光黃燈,時相交通號誌,1,m_sgn_070.webp,此為「行人專用號誌」標誌，指示行人應遵從行人專用號誌通行
523,m_sgn_071,choice_image,,特種閃光「黃燈」號誌,行車管制號誌,行人穿越道號誌,3,m_sgn_071.webp,此為「行人穿越道號誌」，指示行人應遵從此號誌穿越道路
524,m_sgn_072,choice_image,,近障礙物線,近鐵路平交道線,路寬變更線,3,m_sgn_072.webp,此為「路寬變更線」，用以指示前方路寬縮減，提醒駕駛注意車道變化
525,m_sgn_073,choice_image,圖中斜紋是指：,斑馬紋行人穿越道線,停止線,路面邊線,1,m_sgn_073.webp,圖中白色斜紋為「斑馬紋行人穿越道線」，指示行人穿越道路的專用區域
526,m_sgn_074,choice_image,圖中橫向白色實線是指：,禁止超車線,停止線,行人穿越道線,2,m_sgn_074.webp,圖中白色橫向實線為「停止線」，指示車輛於紅燈或停車標誌時應停止的位置
527,m_sgn_075,choice_image,,前方來車停止,全部車輛停止,前後來車停止，左右來車通行,3,m_sgn_075.webp,此為交通指揮手勢，表示指揮人員指示「前後來車停止，左右來車通行」
528,m_sgn_076,choice_image,,全部車輛停止,前後來車停止，左右來車通行,前方來車停止,1,m_sgn_076.webp,此為交通指揮手勢，表示指揮人員指示「全部車輛停止」
529,m_sgn_077,choice_image,,右方來車左轉彎,右方來車速行,左方來車速行,1,m_sgn_077.webp,此為交通指揮手勢，表示指揮人員指示「右方來車左轉彎」
530,m_sgn_078,choice_image,,右方來車停止,右方來車左轉彎,右方來車速行,1,m_sgn_078.webp,此為交通指揮手勢，表示指揮人員指示「右方來車停止」
531,m_sgn_079,choice_image,,右方來車左轉彎,左方來車速行,右方來車速行,2,m_sgn_079.webp,此為交通指揮手勢，表示指揮人員指示「左方來車速行」
532,m_sgn_080,choice_image,,左方來車左轉彎,右方來車速行,左方來車停止,1,m_sgn_080.webp,此為交通指揮手勢，表示指揮人員指示「左方來車左轉彎」
533,m_sgn_081,choice_image,,前方來車停止,前後停止左右通行,全部車輛停止,1,m_sgn_081.webp,此為交通指揮手勢，表示指揮人員指示「前方來車停止」
534,m_sgn_082,choice_image,,右方來車停止,左方來車通行,右方來車速行,3,m_sgn_082.webp,此為交通指揮手勢，表示指揮人員指示「右方來車速行」
564,m_sgn_083,choice_image,,禁止任何車輛進入,禁止拖車進入,禁止大貨車及聯結車進入,3,m_sgn_083.webp,此為「禁止大貨車及聯結車進入」標誌，表示禁止總重量或總聯結重量逾 3.5 噸之貨車進入
582,m_sgn_084,choice_image,,單行道,雙向道,狹路,2,m_sgn_084.webp,此為「雙向道」標誌，表示前方為雙向通行路段，駕駛應注意對向來車
583,m_sgn_085,choice_image,,禁止迴車,禁止左轉,禁止右轉,2,m_sgn_085.webp,此為「禁止左轉」標誌，表示車輛禁止向左轉彎
584,m_sgn_086,choice_image,,禁止左轉,禁止右轉,禁止左轉及直行,3,m_sgn_086.webp,此為「禁止左轉及直行」標誌，表示車輛禁止向左轉彎及直行
585,m_sgn_087,choice_image,,指示改道方向,單行道,行車方向指示,1,m_sgn_087.webp,此為「指示改道方向」標誌，引導車輛依箭頭方向改道行駛
586,m_sgn_088,choice_image,,道路施工,道路封閉,車輛改道,2,m_sgn_088.webp,此為「道路封閉」標誌，表示該路段已封閉，車輛不得進入
587,m_sgn_089,choice_image,,機慢車兩段右轉,機車專行,機慢車兩段左轉,3,m_sgn_089.webp,此為「機慢車兩段左轉」標誌，指示機車及慢車應依兩段式進行左轉
588,m_sgn_090,choice_image,,機慢車兩段右轉,機車專行,機慢車兩段左轉,1,m_sgn_090.webp,此為「機慢車兩段右轉」標誌，指示機車及慢車應依兩段式進行右轉
589,m_sgn_091,choice_image,圖中白色虛線為：,轉彎線,網狀線,槽化線,1,m_sgn_091.webp,圖中白色虛線若答案為 1，應為「轉彎線」，用以引導車輛安全轉彎行駛路線
590,m_sgn_092,choice_image,本標誌為：,地名里程指示,方向里程指示,地名方向指示,3,m_sgn_092.webp,此為「地名方向指示」標誌，指示前方道路通往的地名與行駛方向
591,m_sgn_093,choice_image,,地名里程指示,方向里程指示,地名方向指示,1,m_sgn_093.webp,此為「地名里程指示」標誌，指示前往特定地名的里程距離
592,m_sgn_094,choice_image,本號誌是：,車道管制號誌，表示本車道封閉,前有岔道,行車管制號誌,1,m_sgn_094.webp,此為「車道管制號誌」，表示該車道已封閉，車輛不得通行
593,m_sgn_095,choice_image,,單行道,車道遵行方向,僅准左轉,2,m_sgn_095.webp,此為「車道遵行方向」標誌，指示該車道車輛應遵行的方向
594,m_sgn_096,choice_image,,僅准直行,遵行方向,單行道,3,m_sgn_096.webp,此為「單行道」標誌，表示該道路僅允許單一方向行駛
699,m_sgn_097,choice_image,,右彎,左彎,連續彎路先向右,1,m_sgn_097.webp,此為「右彎」警告標誌，提醒前方道路有向右急彎，駕駛應減速慢行
700,m_sgn_098,choice_image,,左彎,右彎,連續彎路先向左,1,m_sgn_098.webp,此為「左彎」警告標誌，提醒前方道路有向左急彎，駕駛應減速慢行
701,m_sgn_099,choice_image,,連續彎路先向右,左彎,右彎,1,m_sgn_099.webp,此為「連續彎路先向右」警告標誌，表示前方有連續彎路，第一個彎向右
702,m_sgn_100,choice_image,,連續彎路先向左,右彎,左彎,1,m_sgn_100.webp,此為「連續彎路先向左」警告標誌，表示前方有連續彎路，第一個彎向左
703,m_sgn_101,choice_image,,狹路,狹橋,路寬變更線,1,m_sgn_101.webp,此為「狹路」警告標誌，提醒前方道路縮減變狹，會車應特別注意安全
704,m_sgn_102,choice_image,,右側車道縮減,左側車道縮減,狹路,2,m_sgn_102.webp,此為「左側車道縮減」警告標誌，指示前方左側車道將會縮減，應注意車道變換
705,m_sgn_103,choice_image,,右側車道縮減,狹路,匝道會車,1,m_sgn_103.webp,此為「右側車道縮減」警告標誌，指示前方右側車道將會縮減，應注意車道變換
706,m_sgn_104,choice_image,,彎路,圓環,遵行方向,2,m_sgn_104.webp,此為「圓環」警告標誌，提醒前方設有圓環，車輛應依規定禮讓與行駛
707,m_sgn_105,choice_image,,路面高突,路面顛簸,修路,2,m_sgn_105.webp,此為「路面顛簸」警告標誌，提醒前方路面不平整，駕駛應減速慢行
708,m_sgn_106,choice_image,,路面顛簸,坡道,路面高突,3,m_sgn_106.webp,此為「路面高突」警告標誌，提醒前方路面有突起物或減速丘，應減速通過
709,m_sgn_107,choice_image,,停車再開,讓路,慢行,3,m_sgn_107.webp,此為「慢行」禁制標誌，提醒駕駛人應減速慢行，注意前方路況
710,m_sgn_108,choice_image,,最低速限,最高速限,車輛總重限制,2,m_sgn_108.webp,此為「最高速限」禁制標誌，指示該路段車輛行駛的最高速度限制
711,m_sgn_109,choice_image,,禁止任何車輛進入,禁止四輪以上汽車及機車進入,禁止行人通行,2,m_sgn_109.webp,此為「禁止四輪以上汽車及機車進入」禁制標誌，表示該路段禁止這兩類車輛通行
712,m_sgn_110,choice_image,,禁止大型重型機車以外之機車進入,禁止汽缸排氣量 550 立方公分以上大型重型機車進入,禁止大型重型機車進入,3,m_sgn_110.webp,此為「禁止大型重型機車進入」禁制標誌，表示該路段禁止大型重型機車通行
713,m_sgn_111,choice_image,,禁止汽缸排氣量 550 立方公分以上大型重型機車進入,汽缸排氣量 550 立方公分以上大型重型機車專用車道,禁止自行車進入,1,m_sgn_111.webp,此為「禁止汽缸排氣量 550 立方公分以上大型重型機車進入」標誌，禁止其進入
714,m_sgn_112,choice_image,,禁止電動自行車進入,禁止自行車進入,禁止機車進入,2,m_sgn_112.webp,此為「禁止自行車進入」禁制標誌，表示該路段禁止自行車通行
715,m_sgn_113,choice_image,,禁止超車,禁止聯結車超車,禁止行人,1,m_sgn_113.webp,此為「禁止超車」禁制標誌，表示該路段禁止車輛超越前車，需遵守行車秩序
716,m_sgn_114,choice_image,,禁止左轉,禁止迴車,禁止停車,2,m_sgn_114.webp,此為「禁止迴車」禁制標誌，表示該路段或路口禁止車輛掉頭
717,m_sgn_115,choice_image,,最低速限,最高速限,車輛總重限制,2,m_sgn_115.webp,此為「最高速限」禁制標誌，指示該路段車輛行駛的最高速度限制，應減速遵守
718,m_sgn_116,choice_image,,靠右行駛,單行道,右轉,1,m_sgn_116.webp,此為「靠右行駛」指示標誌，指示車輛應靠道路右側行駛，保持交通秩序
719,m_sgn_117,choice_image,,禁止停車,停車再開,禁止臨時停車,2,m_sgn_117.webp,此為「停車再開」禁制標誌，指示車輛應停車觀察後，確認安全再通行
720,m_sgn_118,choice_image,圖中黃色實線是指：,行人穿越道線,禁止停車線,停止線,2,m_sgn_118.webp,圖中黃色實線為「禁止停車線」，表示該路段 24 小時禁止停車，但允許臨時停車
721,m_sgn_119,choice_image,,行車分向線,枕木紋行人穿越道線,禁止超車線,1,m_sgn_119.webp,圖中白色實線為「行車分向線」，用以分隔對向車道或同向車道，禁止跨越
722,m_sgn_120,choice_image,,路寬變更線,近鐵路平交道線,近障礙物線,3,m_sgn_120.webp,圖中黃黑相間的斜紋線為「近障礙物線」，提醒駕駛人前方有障礙物，應小心避讓
723,m_sgn_121,choice_image,圖中白色虛線是指：,枕木紋行人穿越道線,車道線,路面邊線,2,m_sgn_121.webp,圖中白色虛線為「車道線」，用以劃分同向車道，允許駕駛人在安全情況下變換車道
717,m_sgn_122,choice_image,,停放車輛線,指向線,停止線,2,m_sgn_122.webp,此為「指向線」標線，指示車輛應依箭頭方向行駛
724,m_sgn_123,choice_image,圖中黃色雙實線是指：,禁止停車線,雙向禁止超車線,路寬變更線,2,m_sgn_123.webp,圖中黃色雙實線為「分向限制線」，代表雙向均禁止超車
725,m_sgn_124,choice_image,圖中紅色實線是指：,停止線,禁止臨時停車線,車輛停放線,2,m_sgn_124.webp,圖中紅色實線為「禁止臨時停車線」，車輛禁止臨時停車
726,m_sgn_125,choice_image,圖中白色倒三角形標線是指：,讓路線,停止線,近障礙物線,1,m_sgn_125.webp,圖中白色倒三角形為「讓路線」，表示應暫停或減速讓路
727,m_sgn_126,choice_image,,近鐵路平交道線,近障礙物線,路寬變更線,1,m_sgn_126.webp,此為「近鐵路平交道線」標線，提醒接近鐵路平交道
728,m_sgn_127,choice_image,,車道線,行車分向線,枕木紋行人穿越道線,3,m_sgn_127.webp,此為「枕木紋行人穿越道線」，供行人穿越道路使用
729,m_sgn_128,choice_image,,右道封閉,左道封閉,車輛改道,2,m_sgn_128.webp,此為「左道封閉」標誌，表示左側車道封閉，車輛應提早改道
730,m_sgn_129,choice_image,,右道封閉,左道封閉,車輛改道,1,m_sgn_129.webp,此為「右道封閉」標誌，表示右側車道封閉，車輛應提早改道
731,m_sgn_130,choice_image,,道路封閉,車輛改道,道路施工,3,m_sgn_130.webp,此為「道路施工」標誌，提醒前方有道路施工，應注意行車安全
732,m_sgn_131,choice_image,,道路施工,道路封閉,車輛改道,3,m_sgn_131.webp,此為「車輛改道」標誌，指示車輛應依指定路線改道行駛
733,m_sgn_132,choice_image,道路指定,汽車專行,大客車專行,自行車及大型重型機車以外之機車專行,3,m_sgn_132.webp,此為「自行車及大型重型機車以外之機車專行」標誌
734,m_sgn_133,choice_image,,指定四輪以上汽車及汽缸排氣量 550 立方公分以上大型重型機車專行,指定自行車與機車專行,禁止四輪以上汽車與汽缸排氣量 550 立方公分以上大型重型機車進入,1,m_sgn_133.webp,此為「指定四輪以上汽車及 550c.c.以上大型重型機車專行」標誌
735,m_sgn_134,choice_image,,指定四輪以上汽車及汽缸排氣量 550 立方公分以上大型重型機車專行,道路指定四輪以上汽車及大型重型機車專行,禁止四輪以上汽車及大型重型機車進入,2,m_sgn_134.webp,此為「指定四輪以上汽車及大型重型機車專行」標誌
736,m_sgn_135,choice_image,,車道指定四輪以上汽車專行,車道指定四輪以上汽車及汽缸排氣量 550 立方公分以上大型重型機車專行,禁止四輪以上汽車及汽缸排氣量 550 立方公分以上大型重型機車進入,2,m_sgn_135.webp,此為「指定四輪以上汽車及 550c.c.以上大型重型機車專行」標誌
737,m_sgn_136,choice_image,,車道指定自行車及大型重型機車以外之機車專行,車道指定自行車及大型重型機車專行,車道指定自行車及輕型機車專行,1,m_sgn_136.webp,此為「指定自行車及大型重型機車以外之機車專行」標誌
738,m_sgn_137,choice_image,,車道指定自行車專行,車道指定汽車專行,車道指定機車專行,1,m_sgn_137.webp,此為「車道指定自行車專行」標誌，限自行車行駛
739,m_sgn_138,choice_image,,雙向道,狹橋,狹路,2,m_sgn_138.webp,此為「狹橋」標誌，提醒前方橋樑寬度縮減，行車應注意
740,m_sgn_139,choice_image,,捷運車站,鐵路車站,高速鐵路車站,1,m_sgn_139.webp,此為「捷運車站」標誌，指示前方有捷運車站設施
741,m_sgn_140,choice_image,左臂向上，手掌向右微曲，表示：,右轉彎,左轉彎,讓後車超車,1,m_sgn_140.webp,左臂向上，手掌向右微曲是「右轉彎」手勢，指示欲向右轉彎
742,m_sgn_141,choice_image,左臂平伸，手掌向下，表示：,右轉彎,左轉彎,慢行,2,m_sgn_141.webp,左臂平伸，手掌向下是「左轉彎」手勢，指示欲向左轉彎
743,m_sgn_142,choice_image,左臂向下垂伸，手掌向後，表示：,減速暫停,讓後車超越,倒車,1,m_sgn_142.webp,左臂向下垂伸，手掌向後是「減速暫停」手勢，指示減速或停止
744,m_sgn_143,choice_image,,道路僅准左轉,單行道,靠左側車道行駛,1,m_sgn_143.webp,此為「道路僅准左轉」標誌，表示該道路僅允許車輛左轉
745,m_sgn_144,choice_image,,地名里程指示,方向里程指示,地名方向指示,2,m_sgn_144.webp,此為「方向里程指示」標誌，提供目的地方向及距離資訊
746,m_sgn_145,choice_image,本標誌為高速公路指引標誌，用以指引：,快速公路,高速公路,一般道路之車輛駛往高速公路交流道,3,m_sgn_145.webp,此高速公路指引標誌，用以指引一般道路車輛駛往高速公路交流道
747,m_sgn_146,choice_image,,里程碑,里程牌,縣道路線編號標誌,2,m_sgn_146.webp,此為「里程牌」標誌，用以標示道路里程，協助駕駛定位
748,m_sgn_147,choice_image,,捷運車站,鐵路車站,高速鐵路車站,3,m_sgn_147.webp,此為「高速鐵路車站」標誌，指示前方有高速鐵路車站設施
749,m_sgn_148,choice_image,,人行天橋,人行地下道,停車處,1,m_sgn_148.webp,此為「人行天橋」標誌，指示前方設有人行天橋供行人使用
792,m_sgn_149,choice_image,,開亮頭燈,注意號誌,按鳴喇叭,1,m_sgn_149.webp,此為「開亮頭燈」標誌藍色圓底代表遵行標誌，要求車輛進入隧道或特定路段時，必須開啟頭燈行駛
